N,Time (s),Memory (MB),Passes
10,0.0,3.70,2.0
20,0.0,3.83,3.0
30,0.0,3.90,3.06
40,0.0,3.82,3.07
50,0.0,3.73,3.09
60,0.0,3.91,3.12
70,0.0,3.95,3.16
80,0.0,3.86,3.16
90,0.0,3.74,3.19
100,0.0,3.95,3.24
150,0.0,3.77,3.35
200,0.0,3.99,3.4
250,0.0,4.02,3.44
300,0.0,3.84,3.51
350,0.0,4.09,3.54
400,0.0,4.09,3.62
450,0.0,4.04,3.63
500,0.0,4.14,3.66
600,0.01,4.19,3.67
700,0.01,4.20,3.74
800,0.01,4.25,3.78
900,0.01,4.16,3.81
1000,0.01,4.22,3.84
1200,0.01,4.34,3.86
1400,0.02,4.63,3.9
1600,0.02,4.60,3.94
1800,0.02,4.75,3.94
2000,0.02,4.92,3.94
2500,0.03,5.21,3.98
3000,0.04,5.42,4.0
3500,0.05,5.57,4.02
4000,0.06,5.95,4.02
4500,0.07,5.93,4.02
5000,0.07,6.17,4.04
6000,0.1,6.88,4.04
7000,0.1,7.37,4.06
8000,0.12,7.53,4.06
9000,0.16,8.32,4.09
10000,0.19,8.56,4.06